League,Team,Department,Full Name,Title
NFL,Miami Dolphins,Community & Youth Programs,Viviana Jaramillo,"Director, Community Development"
NFL,Miami Dolphins,Community & Youth Programs,Ann Shumate,"Director, Community Programs"
NFL,Miami Dolphins,Community & Youth Programs,Aaron Harris,"Senior Manager, Youth Football"
NFL,Miami Dolphins,Community & Youth Programs,Ashley Gillis Williams,"Manager, Community Programs"
NFL,Miami Dolphins,Community & Youth Programs,Erika Simmons,"Manager, Community Development & Alumni Relations"
NFL,Miami Dolphins,Corporate Partnerships,Jeremy Walls,"Senior Vice President, Chief Revenue Officer"
NFL,Miami Dolphins,Corporate Partnerships,Brady Engel,"Senior Manager, Business Solutions"
NFL,Miami Dolphins,Corporate Partnerships,Austin Hunt,"Senior Manager, Corporate Partnerships"
NFL,Miami Dolphins,Corporate Partnerships,Gabby Munoz,"Senior Manager, Partnership Activation"
NFL,Miami Dolphins,Corporate Partnerships,Jewel Wagner,"Senior Manager, Partnership Activation"
NFL,Miami Dolphins,Corporate Partnerships,Kaleigh Estrada,"Manager, Business Solutions"
NFL,Miami Dolphins,Corporate Partnerships,Elizabeth Murphy,"Manager, Partnership Activation"
NFL,Miami Dolphins,Corporate Partnerships,Marcel Wong,Business Solutions Analyst
NFL,Miami Dolphins,Digital & Social Media,Laura Sandall,"Vice President, Marketing & Digital Strategy"
NFL,Miami Dolphins,Digital & Social Media,Miranda Micallef,Digital Asset Manager
NFL,Miami Dolphins,Digital & Social Media,Maggie Rivers,"Manager, Project Management"
NFL,Miami Dolphins,Digital & Social Media,Bobby Henderson,Senior Web & App Developer
NFL,Miami Dolphins,Digital & Social Media,John Loburak,Senior UX/UI Designer
NFL,Miami Dolphins,Digital & Social Media,Barbara Barreto,Web Content Specialist
NFL,Miami Dolphins,Digital & Social Media,Nicole Bullis,"Specialist, Email & SMS Marketing"
NFL,Miami Dolphins,Digital & Social Media,Barbara Oguntola,SEO & SEM Specialist
NFL,Miami Dolphins,Digital & Social Media,Marcela Aguilar,"Coordinator, Email & SMS Marketing"
NFL,Miami Dolphins,Digital & Social Media,Nicole Cabral,"Senior Manager, Social Media"
NFL,Miami Dolphins,Digital & Social Media,Mallory Schnell,"Coordinator, Social Media"
NFL,Miami Dolphins,Marketing & Creative,Michael Shaw,"Senior Director, Brand Marketing"
NFL,Miami Dolphins,Marketing & Creative,Surf Melendez,"Senior Director, Creative"
NFL,Miami Dolphins,Marketing & Creative,Adriana Gonzalez,Graphic Designer
NFL,Miami Dolphins,Marketing & Creative,Tomás Diniz Santos,"Coordinator, Photography"
NFL,Miami Dolphins,Game Presentation & Live Production,Johnটিভ Kardasz,"Vice President, Live Production & Game Presentation"
NFL,Miami Dolphins,Game Presentation & Live Production,Griffin Goldstein,Videographer/Editor
NFL,Miami Dolphins,Game Presentation & Live Production,Phillip Laborde,Videographer/Editor
NFL,Miami Dolphins,Game Presentation & Live Production,Joseph Petrilli,Videographer/Editor
NFL,Miami Dolphins,Game Presentation & Live Production,Taylor Wilson,Videographer/Editor
NFL,Miami Dolphins,Game Presentation & Live Production,Reiley Young,Videographer/Editor
NFL,Miami Dolphins,Facility Operations,Todd Boyan,"Senior Vice President, Stadium Operations"
NFL,Miami Dolphins,Facility Operations,Alex Besteiro,"Director, Facilities"
NFL,Miami Dolphins,Facility Operations,Edwin Lamour,"Director, Grounds"
NFL,Miami Dolphins,Facility Operations,John Nessl,Facility Security
NFL,Miami Dolphins,Facility Operations,Ferdinand Titre,Engineering Assistant
NFL,Miami Dolphins,Facility Operations,Nate Jackson,Facility Grounds Assistant
NFL,Miami Dolphins,Facility Operations,Hubert Fertil,Housekeeping
NFL,Miami Dolphins,Facility Operations,Valerie Tucci,Receptionist
NFL,Miami Dolphins,Information Technology,Kim Rometo,"Vice President, Chief Information Officer"
NFL,Miami Dolphins,Information Technology,Daniel Castiel,Security Analyst
NFL,Miami Dolphins,Ticket Sales & Service,Jason Green,"Senior Vice President, Chief Revenue Officer"
NFL,Miami Dolphins,Ticket Sales & Service,Krystle Reid,"Vice President, Luxury & Membership Services"
NFL,Miami Dolphins,Ticket Sales & Service,Randy Wills,"Vice President, Miami Dolphins & Miami Open Ticket Sales"
NFL,Miami Dolphins,Ticket Sales & Service,Josh Young,"Vice President, Ticket Sales"
NFL,Miami Dolphins,Ticket Sales & Service,Matt Clark,"Senior Director, Luxury & Membership Services"
NFL,Miami Dolphins,Ticket Sales & Service,Ron Hecht,"Senior Director, Ticket Sales"
NFL,Miami Dolphins,Ticket Sales & Service,Kat Malara,"Senior Director, Sales & Service Operations"
NFL,Miami Dolphins,Ticket Sales & Service,Freddy Masterson,"Senior Director, Ticket Sales"
NFL,Miami Dolphins,Ticket Sales & Service,Nathan Medrano,"Senior Director, Luxury & Membership Services"
NFL,Miami Dolphins,Ticket Sales & Service,Nolan O'Connor,"Senior Director, Luxury & Suite Sales"
NFL,Miami Dolphins,Ticket Sales & Service,Alena Jasinski,"Director, Ticket Sales"
NFL,Miami Dolphins,Ticket Sales & Service,Dave Mack,"Director, Group Sales"
NFL,Miami Dolphins,Ticket Sales & Service,TJ Schepperly,"Director, Premium Sales & Hospitality"
NFL,Miami Dolphins,Ticket Sales & Service,Brandon Federico,"Senior Manager, Business Development"
NFL,Miami Dolphins,Ticket Sales & Service,Alex Hart,"Director, Club & Membership Services"
NFL,Miami Dolphins,Ticket Sales & Service,Taylor Horn,"Senior Manager, Luxury Service"
NFL,Miami Dolphins,Ticket Sales & Service,Julia Lyons,"Director, Suite & Luxury Service"
NFL,Miami Dolphins,Ticket Sales & Service,John Bozesky,"Manager, Business Development"
NFL,Miami Dolphins,Ticket Sales & Service,Mackenzie Bryan,"Manager, Sales & Service Operations"
NFL,Miami Dolphins,Ticket Sales & Service,Justin Lucker,"Manager, Club Service"
NFL,Miami Dolphins,Ticket Sales & Service,Tyler Mooney,"Manager, Sales Development"
NFL,Miami Dolphins,Ticket Sales & Service,Jonny Morales,"Senior Manager, Business Development"
NFL,New England Patriots,Ownership,Robert Kraft,Chairman and CEO
NFL,New England Patriots,Ownership,Jonathan Kraft,President
NFL,New England Patriots,Executive,Robyn Glaser,Executive Vice President of Business Affairs
NFL,New England Patriots,Executive,Jennifer Ferron,Chief Marketing Officer
NFL,New England Patriots,Business & Football Operations,Nancy Meier,Senior Vice President of Business & Football Operations
NFL,New England Patriots,Business & Football Operations,John Streicher,Vice President of Football Operations & Strategy
NFL,New England Patriots,Finance,Jim Nolan,Chief Operating Officer
NFL,New England Patriots,Finance,Joe Fague,Vice President of Finance
NFL,New England Patriots,Finance,Andrew Miller,Vice President of Finance
NFL,New England Patriots,Communications,Stacey James,Vice President of Communications
NFL,New England Patriots,Communications,Aaron Salkin,Director of Communications
NFL,New England Patriots,Communications,Stephanie Burnham,Football Communications Strategist
NFL,New England Patriots,Communications,Anisha Chakrabarti,Corporate Communications Strategist
NFL,New England Patriots,Content,Fred Kirsch,Vice President of Content
NFL,New England Patriots,Content,Matt Reynolds,Director of Content
NFL,New England Patriots,Content,Eric Adler,Photo Editor
NFL,New England Patriots,Sales,Murray Kohl,Vice President of Sales
NFL,New England Patriots,Sales,Jason Stone,Vice President of Program and Event Sales
NFL,New England Patriots,Corporate Partnerships,Amy Waryas,Vice President of Corporate Partnership Sales
NFL,New England Patriots,Corporate Partnerships,Chris Koehler,Vice President of Corporate Partnership Activation
NFL,New England Patriots,Ticket Sales,Phil Jumoto,Vice President of Ticket Sales and Operations
NFL,New England Patriots,Community Relations,Andre Tippett,Executive Director of Community Affairs
NFL,New England Patriots,Community Relations,Josh Kraft,"President, New England Patriots Foundation"
NFL,New England Patriots,Community Relations,Donna Spigarolo,Director of Community Relations
NFL,New England Patriots,Stadium Operations,Mark Briggs,"Director of Stadium Operations, Gillette Stadium"
NFL,New England Patriots,Stadium Operations,Michael Frolich,Director of Security and Parking
NFL,New England Patriots,Stadium Operations,Jason Davison,Director of Event Operations
NFL,New England Patriots,Information Technology,Michael Israel,Chief Information Officer
NFL,New England Patriots,Human Resources,Phyllis Krock,Vice President of Human Resources
NFL,New York Jets,Ownership,Robert Wood Johnson,Chairman
NFL,New York Jets,Ownership,Christopher W. Johnson,Vice Chairman
NFL,New York Jets,Executive,Hymie Elhai,President
NFL,New York Jets,Executive,Brian Friedman,Executive Vice President and Chief Operating Officer
NFL,New York Jets,Executive,Eric Gelfand,"Senior Vice President, Communications & Content"
NFL,New York Jets,Executive,Ian Lasher,"Senior Vice President, Corporate Partnership"
NFL,New York Jets,Executive,Andy Lee,Chief Legal Officer
NFL,New York Jets,Executive,Jeff Massey,"Vice President, Finance and Analytics"
NFL,New York Jets,Executive,Brian Mulligan,"Vice President, Event and Game Operations"
NFL,New York Jets,Executive,Chris Pierce,"Vice President, Fan Commerce"
NFL,New York Jets,Executive,Jim Spann,"Vice President, Marketing"
NFL,New York Jets,Executive,Tim Mulligan,"Vice President, Information Technology"
NFL,New York Jets,Executive,Laura Fava,"Vice President, Ticket Sales & Service"
NFL,New York Jets,Executive,Jared Winley,"Vice President, Communications"
NFL,New York Jets,Executive,Jesse Linder,"Vice President, Community Relations"
NFL,New York Jets,Executive,Courtney Anderson,"Vice President, Human Resources & Admin"
NFL,New York Jets,Executive,Brad Keen,"Vice President, Content Production"
NFL,New York Jets,Executive,Jeff Tannebaum,"Vice President, Strategy"
NFL,New York Jets,Football Administration,Nick Sabella,"Senior Director, Football Administration"
NFL,New York Jets,Football Administration,Casey Driskill,"Manager, Football Administration"
NFL,New York Jets,Football Analytics,Brian Shields,Player Personnel Research & Analytics
NFL,New York Jets,Football Analytics,Sean Clement,"Director, Football Analytics & Strategy"
NFL,New York Jets,Football Analytics,Jeremiah Whitmire,"Manager, Football Analytics"
NFL,New York Jets,Football Analytics,Benjamin Hoshal,Senior Football Data Scientist
NFL,New York Jets,Football Analytics,Arjun Menon,"Assistant, Football Analytics"
NFL,New York Jets,Communications,Meghan Gilmore,"Senior Director, Communications"
NFL,New York Jets,Communications,Ryan Stefanacci,"Coordinator, Communications"
NFL,New York Jets,Community Relations,Eli Hodges,"Director, Community Relations & Youth Football"
NFL,New York Jets,Community Relations,Mackenzie Fuller,"Assistant, Community Relations"
NFL,New York Jets,Content & Digital,Chris Gargano,"Senior Director, Content & Digital"
NFL,New York Jets,Content & Digital,Nick Mangold,Analyst
NFL,New York Jets,Content & Digital,Anthony Fucilli,Analyst
NFL,New York Jets,Content & Digital,Quincy Enunwa,Analyst
NFL,New York Jets,Content & Digital,Eric Allen,Team Reporter/Content Analyst
NFL,New York Jets,Content & Digital,Ethan Greenberg,Team Reporter
NFL,New York Jets,Content & Digital,Caroline Hendershot,Team Reporter
NFL,New York Jets,Content & Digital,Tim Morgan,Motion Graphics Designer
NFL,New York Jets,Content & Digital,Jack Radutzky,Social Media Coordinator
NFL,New York Jets,Content & Digital,Kaelen Bell,Writer/Producer
NFL,New York Jets,Content & Digital,Phoebe Schechter,Producer
NFL,New York Jets,Content & Digital,Jon Weitz,Production Coordinator
NFL,New York Jets,Content & Digital,Matt Iervolino,Production Assistant
NFL,New York Jets,Content & Digital,Casey Katz,Production Assistant
NFL,New York Jets,Content & Digital,Jared Feldman,Production Assistant
NFL,New York Jets,Content & Digital,James Casey,Production Assistant
NFL,New York Jets,Content & Digital,Nick Mele,Production Assistant
NFL,New York Jets,Content & Digital,Jack Beggans,Production Assistant
NFL,New York Jets,Corporate Partnership,Jake Fishel,"Senior Director, Corporate Partnership"
NFL,New York Jets,Corporate Partnership,Kevin Stuckless,"Senior Director, Business Development"
NFL,New York Jets,Corporate Partnership,Jon Schauf,"Senior Manager, Partnership Activation"
NFL,New York Jets,Corporate Partnership,Ashley Hesse,"Senior Manager, Partnership Activation"
NFL,New York Jets,Corporate Partnership,Samantha Krieger,"Senior Manager, Partnership Activation"
NFL,New York Jets,Corporate Partnership,Anthony Iovino,"Manager, Business Development"
NFL,New York Jets,Corporate Partnership,John Marque,"Manager, Business Development"
NFL,New York Jets,Corporate Partnership,Matt McMahon,"Manager, Business Development"
NFL,New York Jets,Corporate Partnership,Jeff Tokar,"Manager, Business Development"
NFL,New York Jets,Corporate Partnership,Ryan Weidman,"Manager, Partnership Activation"
NFL,New York Jets,Corporate Partnership,Patrick McInerney,"Coordinator, Corporate Partnership Activation"
NFL,New York Jets,Client Relations & Retention,Jason Solomon,"Director, Client Relations & Retention"
NFL,New York Jets,Client Relations & Retention,Richard Guralnik,"Senior Manager, Client Relations & Retention"
NFL,New York Jets,Client Relations & Retention,Brooke Cohen,"Manager, Flight Academy"
NFL,New York Jets,Client Relations & Retention,Matty Goldberg,"Manager, Ticket Sales Operations & Service"
NFL,New York Jets,Client Relations & Retention,Roberto Luciano,"Manager, Ticket Sales & Service"
NFL,New York Jets,Client Relations & Retention,Lauren Nisivoccia Krug,"Manager, Group Sales"
NFL,New York Jets,Client Relations & Retention,Nicole Castellano,Account Executive
NFL,New York Jets,Client Relations & Retention,Sean McGlew,Account Executive
NFL,New York Jets,Client Relations & Retention,Taylor Vangeffga,Account Executive
NFL,New York Jets,Client Relations & Retention,Jordyn Martins,"Executive, Inside Sales"
NFL,New York Jets,Events & Game Operations,Jack Holmgren,"Senior Director, Fan Engagement & Game Presentation"
NFL,New York Jets,Events & Game Operations,Olivia Sherman,"Manager, Fan Engagement & Game Presentation"
NFL,New York Jets,Events & Game Operations,Traci Kieffer,"Assistant, Fan Engagement & Game Presentation"
NFL,New York Jets,Facilities Operations,Michael Lebet,"Senior Director, Facility Operations"
NFL,New York Jets,Facilities Operations,Mark Garcia,"Manager, Office & Mail Services"
NFL,New York Jets,Facilities Operations,Mike Gogoski,Facility Technician
NFL,New York Jets,Facilities Operations,Eugene Martel,Facility Technician
NFL,New York Jets,Fan Commerce,Thomas Ginn,"Assistant, Fan Commerce"
NFL,New York Jets,Finance,Rachael Dell,"Senior Manager, Finance & Analytics"
NFL,New York Jets,Finance,Anthony LoBello,"Senior Manager, Finance & Analytics"
NFL,New York Jets,Finance,Steven Brennan,"Senior Manager, Finance"
NFL,New York Jets,Finance,Christina Lofaro,Staff Accountant
NFL,New York Jets,Finance,Danielle Corcoran,Accounts Payable Specialist
NFL,New York Jets,Grounds,Blake Hoerr,"Director, Fields & Grounds"
NFL,New York Jets,Grounds,Matt Henn,"Senior Manager, Field and Grounds"
NFL,New York Jets,Grounds,Sean DeLuca,"Assistant, Field and Grounds"
NFL,New York Jets,Grounds,Benjamin Yozwiak,"Assistant, Field & Grounds"
NFL,New York Jets,Human Resources/Business Operations,Kachana Wilder,"Director, Payroll & Benefits"
NFL,New York Jets,Human Resources/Business Operations,Jocelyn Gaskins,Executive Assistant to the President & COO
NFL,New York Jets,Human Resources/Business Operations,Meg Biggs,"Manager, Human Resources"
NFL,New York Jets,Human Resources/Business Operations,Erin Wisnieski,Receptionist
NFL,New York Jets,Information Technology,Phil Mastellone,"Director, Information Technology"
NFL,New York Jets,Information Technology,Ryan Foote,Senior Network Engineer
NFL,New York Jets,Information Technology,James Clark,Systems Engineer
NFL,New York Jets,Information Technology,Connor Brennan,Help Desk Engineer
NFL,New York Jets,Information Technology,Robert Cashel,Help Desk Coordinator
NFL,New York Jets,Legal,Mike Minarczyk,Associate Counsel
NFL,New York Jets,Marketing,Jose Rey,"Senior Director, Creative"
NFL,New York Jets,Marketing,Jessica Blank,"Senior Director, Marketing"
NFL,New York Jets,Marketing,Karis Felton,"Coordinator, Marketing"
